P1 - ch4_mf (kg s^-1),P2 - ch4_t (K),P3 - o2_mf (kg s^-1),P4 - o2_t (K),P5 - unif-ch4-op,P6 - x-ch4-op,P7 - t-avg-out-op (K)
0.000143601,233.8555464,0.001983892,605.3067299,0.42701185,0.084841378,566.49023
0.000175636,496.0860559,0.001423636,524.8842556,0.45212227,0.12553756,520.06964
0.000126953,403.7515127,0.000528005,655.517934,0.74310386,0.21655144,578.94165
0.000147128,533.1281228,0.000612411,646.1678904,0.79549152,0.23633942,607.39777
0.000176693,549.9083527,0.000827603,507.0241558,0.77450216,0.2170065,520.10132
0.00013918,572.4270568,0.000486988,216.7051604,0.9742012,0.3333368,370.41141
0.000113917,214.1619307,0.001137422,582.215209,0.47969168,0.10318557,535.2572
0.000109606,243.0199637,0.000498302,670.8363662,0.60369945,0.17261022,570.82617
0.000144225,484.1366921,0.000756247,459.8653356,0.73684347,0.19319807,466.27206
0.00010268,393.3070294,0.000553608,438.4605246,0.73751104,0.18794291,427.17191
0.000127441,222.5503969,0.000906156,444.8680165,0.50335318,0.12943156,410.39688
0.000103762,236.724909,0.001610324,414.056711,0.4422904,0.078801252,397.56097
0.000127338,597.0168477,0.001480241,251.7870711,0.54554129,0.11278222,304.90521
0.000125242,350.3532856,0.001954483,586.4172162,0.39263403,0.07875517,562.39752
0.000128567,585.3865318,0.000413216,602.2709058,0.94810176,0.34245348,594.17767
0.000175617,277.6906768,0.000478431,640.6909536,0.83760893,0.31503341,499.62057
0.000100148,461.6842542,0.00149691,339.9240511,0.38793859,0.087074995,353.49429
0.000137774,273.7585298,0.000485843,594.4906197,0.75294888,0.2383306,496.51074
0.000116514,505.0269157,0.001142936,693.8388024,0.40920299,0.10497133,665.85968
0.000121229,234.3357301,0.001480145,662.1908694,0.45775786,0.09075743,613.12598
0.000102627,592.1647335,0.000770712,585.7986896,0.56341928,0.13402055,587.07269
0.000161166,513.2795002,0.001437702,240.9770861,0.62793136,0.13601549,288.79254
0.00014546,215.1286616,0.000214982,530.2482266,0.99752843,0.54892254,342.62589
0.000102864,383.5804166,0.001896421,323.9420747,0.36446005,0.075148642,329.36569
0.000133482,521.5859796,0.001545677,582.6642235,0.3704927,0.098504655,574.50562
0.000173721,455.0733294,0.001340187,302.6666994,0.60148048,0.14298174,330.24423
0.000106346,433.4470321,0.001204989,525.0274163,0.40918115,0.097822599,513.09503
0.000132843,296.832336,0.000172029,647.3640042,0.99960315,0.58217055,420.80774
0.00010526,461.6653938,0.001659659,564.4244541,0.36892238,0.079299971,553.47778
0.0002,400,0.001,500,0.63969344,0.17687391,477.12903
0.00018,400,0.001,500,0.63991117,0.17697169,477.11371
0.00022,400,0.001,500,0.63969344,0.17687391,477.12881
0.0002,400,0.0009,500,0.68878388,0.1950773,474.73236
