P1 - ch4_mf (kg s^-1) ,P2 - ch4_t (K) ,P3 - o2_mf (kg s^-1) ,P4 - o2_t (K) ,P5 - unif-ch4-op,P6 - x-ch4-op,P7 - t-avg-out-op (K) 
0.000199319,415.4416598,0.000902604,480.7128231,0.71935534,0.20328736,463.461
0.000195373,420.9728103,0.001092772,473.6488755,0.60979015,0.16442055,462.42551
0.000193246,360.2808973,0.001076553,479.0876135,0.56942117,0.1583896,455.47293
0.000182189,415.5453573,0.001053255,490.8337541,0.58692229,0.15826327,475.31989
0.00018018,411.0520418,0.00103997,460.5810109,0.60604584,0.16113442,450.26852
0.000196373,412.7303048,0.00094361,451.4530596,0.70428097,0.19424564,441.75735
0.000194911,364.3118074,0.000989303,476.2714593,0.62398148,0.17292298,451.82813
0.000180184,363.5145768,0.001056222,526.0245157,0.53284454,0.14924271,495.12247
0.000188707,383.8527868,0.001057737,549.3434381,0.54765725,0.15421803,516.36926
0.000191541,436.6299265,0.001042899,451.5012295,0.65116727,0.1732896,448.13916
0.000187462,360.6980135,0.000940739,491.729296,0.62437785,0.17336132,462.88147
0.000184167,417.2009481,0.00095182,508.3279196,0.63952422,0.17395462,487.47763
0.000192428,416.7082127,0.000903489,510.4861764,0.68670052,0.19132575,486.89471
0.000195569,361.1297142,0.001043193,541.7847865,0.55745351,0.15866837,505.26065
0.000180108,412.285529,0.000903356,540.6746892,0.6378215,0.17539987,510.80969
0.000180405,381.2813617,0.000950876,463.8166458,0.6352576,0.17179693,445.70746
0.0001977,424.1735961,0.001023889,526.5042412,0.6212768,0.17106636,503.46729
0.000193211,362.4957272,0.001039474,456.2710185,0.60432571,0.16589913,436.78589
0.000188118,396.7212943,0.000982723,527.7911391,0.60476351,0.16725294,499.23035
0.00019327,423.4212232,0.001049731,499.9510936,0.61290783,0.16656344,483.27982
0.000185117,436.2702195,0.001048908,478.1651755,0.61683965,0.16424218,469.12885
0.000188257,392.9467677,0.001048115,499.6072119,0.58321637,0.16016304,477.61652
0.000180609,362.7929391,0.001026204,476.9217587,0.57213306,0.15696961,454.29996
0.000180583,366.1692666,0.000943042,525.6523327,0.5919584,0.16475704,491.85516
0.000193557,379.2352702,0.000903228,503.95827,0.6673432,0.18725592,473.90628
0.000181691,375.016507,0.001029946,451.0497947,0.59698635,0.16096941,435.5882
0.000193207,398.1985347,0.00099329,468.9528265,0.64720327,0.17628637,452.92831
0.000195766,364.0765555,0.00096505,548.4054446,0.5972839,0.16969247,508.21304
0.000187887,419.157113,0.001098662,503.0327739,0.57113761,0.15566288,486.02631
0.000191906,393.235336,0.000904374,475.5591792,0.69059062,0.1920754,455.21008
0.00019162,439.1869594,0.000971276,464.048208,0.6855368,0.18543774,457.99387
0.00018179,425.6319621,0.000957811,537.8612067,0.61820519,0.16869372,512.68951
0.000198261,401.6259698,0.001052407,473.5601857,0.62464505,0.17023823,457.83743
0.000199408,400.0236719,0.001050392,524.1793912,0.59572273,0.16580974,497.50162
0.000193019,360.0942521,0.000984848,508.625709,0.59985995,0.16816022,476.90195
0.000193988,380.2447019,0.001005837,500.5797256,0.60921991,0.16883831,474.56491
0.000189025,418.2240177,0.000902882,467.3480389,0.7067132,0.19507445,454.87051
0.000180073,410.2396641,0.001001331,480.8012597,0.61346096,0.16456205,465.70435
0.000190403,398.5655813,0.000945919,507.652142,0.64516872,0.17798628,482.40283
0.000189955,386.9082211,0.000953103,548.5330398,0.60774702,0.17022607,512.66724
0.000180905,383.1671678,0.000922918,487.7943475,0.63926077,0.17472212,464.25082
0.000189073,409.6035091,0.001060297,549.833488,0.56148475,0.15637095,521.11523
0.000198907,428.444274,0.000957174,522.5110196,0.66789818,0.18529554,499.46777
0.000191961,366.427949,0.001082668,521.9410475,0.5454011,0.15386356,491.5452
0.000195263,384.0430938,0.001083178,490.6012943,0.57925606,0.1601849,468.85031
0.000181502,417.8470217,0.000958389,458.8861754,0.66046846,0.17660122,449.4585
0.000180208,423.0354211,0.001003936,517.3644991,0.59797865,0.16193108,497.22037
0.000187337,404.664742,0.001099908,475.264199,0.57721597,0.15631129,461.07773
0.000180838,378.2187688,0.000976173,487.211656,0.60403353,0.16490605,464.1933
0.000199148,381.719015,0.001044098,544.7908827,0.57509208,0.16262037,510.61911
0.000188749,362.8109588,0.000944332,465.5852264,0.64327151,0.17725292,442.5882
0.000181511,379.0075483,0.000982913,532.5450596,0.57637829,0.1601494,500.74258
0.000195982,423.5935566,0.000946724,549.1450461,0.64959598,0.18086025,518.99493
0.00018013,416.8260997,0.00090894,482.8820537,0.67188817,0.18210487,467.11572
0.000199851,417.3833378,0.001090751,523.0104024,0.5875442,0.16251478,500.61993
0.000192083,376.166649,0.001088965,450.4926045,0.5896644,0.16043614,435.49323
0.000190464,413.7093085,0.000991767,452.644423,0.66258103,0.17845379,443.67145
0.000180869,420.2971833,0.001057414,540.7748557,0.55676776,0.15305759,516.48969
0.000189964,406.906511,0.001004182,499.7443768,0.62023872,0.16932219,479.30453
0.00018978,382.2577685,0.001005574,549.4714111,0.57451361,0.16143623,514.49249
0.000190442,427.5317834,0.000906616,536.0208533,0.6726346,0.18675064,509.05405
0.00018766,415.9693492,0.001078204,456.5457576,0.60857987,0.16221397,448.05304
0.00019976,379.7209267,0.000906344,476.0442475,0.69633251,0.19677715,451.87741
0.000199735,393.1115395,0.000955772,532.5053844,0.64084196,0.17993969,499.88733
0.000180633,381.520084,0.001085887,533.169259,0.52686888,0.14722893,504.4668
